ID,Description
gene253,ID=gene253;Name=SMU_237c;Dbxref=GeneID:1027836;gbkey=Gene;locus_tag=SMU_237c;old_locus_tag=SMU.237c
gene254,ID=gene254;Name=SMU_238c;Dbxref=GeneID:1027839;gbkey=Gene;locus_tag=SMU_238c;old_locus_tag=SMU.238c
gene262,ID=gene262;Name=SMU_247;Dbxref=GeneID:1029410;gbkey=Gene;locus_tag=SMU_247;old_locus_tag=SMU.247
gene263,ID=gene263;Name=SMU_248;Dbxref=GeneID:1027844;gbkey=Gene;locus_tag=SMU_248;old_locus_tag=SMU.248
gene268,ID=gene268;Name=dacA;Dbxref=GeneID:1027842;gbkey=Gene;gene=dacA;locus_tag=SMU_253;old_locus_tag=SMU.253
gene269,ID=gene269;Name=oppA;Dbxref=GeneID:1027847;gbkey=Gene;gene=oppA;locus_tag=SMU_255;old_locus_tag=SMU.255
gene277,ID=gene277;Name=SMU_263;Dbxref=GeneID:1029469;gbkey=Gene;locus_tag=SMU_263;old_locus_tag=SMU.263
gene278,ID=gene278;Name=SMU_264;Dbxref=GeneID:1027853;gbkey=Gene;locus_tag=SMU_264;old_locus_tag=SMU.264
gene279,ID=gene279;Name=arcC;Dbxref=GeneID:1029467;gbkey=Gene;gene=arcC;locus_tag=SMU_265;old_locus_tag=SMU.265
gene280,ID=gene280;Name=SMU_267c;Dbxref=GeneID:1027852;gbkey=Gene;locus_tag=SMU_267c;old_locus_tag=SMU.267c
gene284,ID=gene284;Name=ptxA;Dbxref=GeneID:1027857;gbkey=Gene;gene=ptxA;locus_tag=SMU_272;old_locus_tag=SMU.272
gene289,ID=gene289;Name=SMU_277;Dbxref=GeneID:1027858;gbkey=Gene;locus_tag=SMU_277;old_locus_tag=SMU.277
gene290,ID=gene290;Name=SMU_278;Dbxref=GeneID:1027861;gbkey=Gene;locus_tag=SMU_278;old_locus_tag=SMU.278
gene292,ID=gene292;Name=SMU_281;Dbxref=GeneID:1027860;gbkey=Gene;locus_tag=SMU_281;old_locus_tag=SMU.281
gene294,ID=gene294;Name=SMU_284;Dbxref=GeneID:1029408;gbkey=Gene;locus_tag=SMU_284;old_locus_tag=SMU.284
gene295,ID=gene295;Name=SMU_285;Dbxref=GeneID:1027863;gbkey=Gene;locus_tag=SMU_285;old_locus_tag=SMU.285
gene296,ID=gene296;Name=SMU_286;Dbxref=GeneID:1027866;gbkey=Gene;locus_tag=SMU_286;old_locus_tag=SMU.286
gene302,ID=gene302;Name=SMU_293;Dbxref=GeneID:1027869;gbkey=Gene;locus_tag=SMU_293;old_locus_tag=SMU.293
